CO_PROCEDIMENTO,CO_PROCEDIMENTO_SIA_SIH,TP_PROCEDIMENTO
0202010678,11012242,A
0202010678,17063043,H
0202010686,11014237,A
0202010694,11011386,A
0202010694,17064040,H
0202010708,11015101,A
0202010708,11991275,A
0202010708,17065046,H
0202010708,32092016,A
0202010716,11014091,A
0202010716,17032040,H
0202010724,11014105,A
0202010724,17033047,H
0202010732,11015071,A
0202010732,17041040,H
0202010732,17054044,H
0202010740,11014164,A
0202010740,17031044,H
0202010759,11015098,A
0202020010,11044012,A
0202020010,17007038,H
0202020029,11041137,A
0202020029,17023033,H
0202020037,11041170,A
0202020037,17031036,H
0202020045,11041161,A
0202020045,17030030,H
0202020053,11043083,A
0202020061,11041196,A
0202020070,11041200,A
0202020070,11041218,A
0202020088,11041226,A
0202020096,11041269,A
0202020100,11042109,A
0202020118,11044071,A
0202020126,11042117,A
0202020134,11041250,A
0202020134,11044128,A
0202020142,11041234,A
0202020142,17009030,H
0202020150,11041331,A
0202020150,17019036,H
0202020169,11043016,A
0202020177,11045035,A
0202020177,17005035,H
0202020185,11043091,A
0202020185,17011035,H
0202020193,11043148,A
0202020193,17011035,H
0202020207,11043113,A
0202020207,17011035,H
0202020215,11043121,A
0202020215,17011035,H
0202020223,11043130,A
0202020223,11044055,A
0202020223,17011035,H
0202020231,11044063,A
0202020240,11044144,A
0202020258,11043156,A
0202020258,17011035,H
0202020266,11043164,A
0202020266,17011035,H
0202020274,11043172,A
0202020274,17011035,H
0202020282,11043180,A
0202020282,17011035,H
0202020290,11042052,A
0202020304,11041366,A
0202020312,11041242,A
0202020320,11041102,A
0202020320,17017033,H
0202020339,11041110,A
0202020347,11043229,A
0202020347,17025036,H
0202020355,11043199,A
0202020355,11043245,A
0202020355,17016037,H
0202020363,11042044,A
0202020371,11041340,A
0202020380,11043202,A
0202020380,17018030,H
0202020398,11042087,A
0202020398,17020034,H
0202020401,11044152,A
0202020401,11044160,A
0202020410,11042010,A
0202020410,17006031,H
0202020428,11041056,A
0202020436,11041021,A
0202020436,17012031,H
0202020444,11041293,A
0202020444,17035031,H
0202020452,01022105,A
0202020452,17026032,H
0202020460,11041323,A
0202020460,17032032,H
0202020479,09026029,H
0202020479,17029031,H
0202020487,11043067,A
0202020487,17027039,H
0202020495,11041188,A
0202020495,17008034,H
0202020509,11041153,A
0202020517,11042036,A
0202020525,11044101,A
0202020533,11041048,A
0202020533,17015030,H
0202020541,11042028,A
0202020541,17010039,H
0202030016,11065044,A
0202030016,17024021,H
0202030016,17050022,H
0202030024,11073047,A
0202030032,11065079,A
0202030032,17024021,H
0202030032,17046025,H
0202030032,17047021,H
0202030032,17049024,H
0202030040,11073020,A
0202030059,11065150,A
0202030067,11062258,A
0202030067,17010020,H
0202030075,11061278,A
0202030075,17013020,H
0202030075,17057027,H
0202030083,11062398,A
0202030083,17032024,H
0202030091,11065010,A
0202030091,11992026,A
0202030091,17018021,H
0202030105,11065125,A
0202030113,11065028,A
0202030121,11062266,A
0202030121,17010020,H
0202030130,11062274,A
0202030130,17010020,H
0202030148,11061162,A
0202030148,11061170,A
0202030148,17012023,H
0202030156,11062304,A
0202030164,11062339,A
0202030164,17022029,H
0202030172,17021022,H
0202030180,11062355,A
0202030199,11061383,A
0202030202,11061510,A
0202030202,17032024,H
0202030229,11064030,A
0202030229,17023025,H
0202030237,11065133,A
0202030245,01022113,A
0202030245,17030021,H
0202030253,11063017,A
0202030261,11063025,A
0202030270,11062070,A
0202030270,11062088,A
0202030270,17001021,H
0202030288,11063289,A
0202030296,11073012,A
0202030300,11064013,A
0202030318,11063335,A
0202030326,11063203,A
0202030334,11061677,A
0202030334,11061685,A
0202030342,11063149,A
0202030350,11063157,A
0202030369,11063165,A
0202030377,11062010,A
0202030385,11062029,A
0202030393,11062193,A
0202030407,11061065,A
0202030407,11061073,A
0202030407,11061634,A
0202030407,17005027,H
0202030415,11061120,A
0202030415,11061138,A
0202030415,11062231,A
0202030415,17008026,H
0202030423,11063220,A
0202030423,11063238,A
0202030431,11062053,A
0202030440,11061227,A
0202030458,11062045,A
0202030466,11021020,A
0202030466,11021039,A
0202030466,11022027,A
0202030466,17001099,H
0202030474,11061022,A
0202030474,11061030,A
0202030474,17002028,H
0202030482,11062096,A
0202030504,11062100,A
0202030512,11062118,A
0202030520,11063122,A
0202030539,11061413,A
0202030547,11061421,A
0202030547,11061430,A
0202030547,17025028,H
0202030555,11062169,A
0202030563,11062126,A
0202030571,11063130,A
0202030580,11062134,A
0202030598,11062142,A
0202030598,17019028,H
0202030601,11062150,A
0202030610,11061448,A
0202030628,11064021,A
0202030636,11063076,A
0202030644,11063068,A
0202030652,11061359,A
0202030652,11061650,A
0202030652,11061669,A
0202030660,11061235,A
0202030660,11061243,A
0202030679,11063084,A
0202030687,11063459,A
0202030695,11061537,A
0202030709,11061057,A
0202030717,11063386,A
0202030725,11063211,A
0202030733,11061472,A
0202030733,17027020,H
0202030741,11061154,A
0202030741,11062240,A
0202030750,11062363,A
0202030768,11061561,A
0202030768,11063360,A
0202030768,17035023,H
0202030776,11062215,A
0202030784,11063033,A
0202030792,11063432,A
0202030806,11063246,A
0202030814,11062401,A
0202030822,11063327,A
0202030830,11062177,A
0202030830,11063181,A
0202030849,11063297,A
0202030857,11062240,A
0202030865,11061405,A
0202030873,11063378,A
0202030881,11061103,A
0202030890,11063041,A
0202030903,11063440,A
0202030911,11063254,A
0202030920,11062401,A
0202030938,11063319,A
0202030946,11063106,A
0202030954,11063300,A
0202030962,11065036,A
0202030962,11992034,A
0202030970,11063270,A
0202030989,11063262,A
0202030997,11065095,A
0202031004,11061189,A
0202031004,17011027,H
0202031012,11061600,A
0202031012,17037026,H
0202031039,11062312,A
0202031039,11062320,A
0202031047,11061090,A
0202031047,17006023,H
0202031055,17011019,A
0202031063,17011035,A
0202031071,11073039,A
0202031080,11065176,A
0202031098,11061588,A
0202031098,95009019,H
0202031101,11061480,A
0202031101,17028027,H
0202031110,11061596,A
0202031110,17034027,H
0202031144,01002015,H
0202031144,17011051,A
0202031144,17020026,H
0202031152,17011027,A
0202031152,17011043,A
0202031179,11061596,A
0202031179,17034027,H
0202040011,11031034,A
0202040020,11032057,A
0202040038,11032022,A
0202040038,17002079,H
0202040046,11031050,A
0202040046,17001013,H
0202040046,17004071,H
0202040054,11031093,A
0202040062,11031026,A
0202040070,11031042,A
0202040070,17003075,H
0202040089,11031069,A
0202040097,11031077,A
0202040097,17006074,H
0202040100,11031085,A
0202040119,11032090,A
0202040127,11032073,A
0202040127,17007070,H
0202040135,11113081,A
0202040143,11031115,A
0202040143,17005078,H
0202040151,11031131,A
0202040160,11031018,A
0202040160,11031140,A
0202040178,11031107,A
0202050017,11011394,A
0202050017,11142146,A
0202050017,17009065,H
0202050025,11012072,A
0202050033,11012080,A
0202050041,11012099,A
0202050041,17015049,H
0202050050,11141077,A
0202050050,17002060,H
0202050068,11142138,A
0202050076,11143010,A
0202050084,11011025,A
0202050084,11021012,A
0202050092,11014253,A
0202050106,11013036,A
0202050114,11141255,A
0202050122,11032030,A
0202050130,11142065,A
0202050130,17003067,H
0202050149,11143029,A
0202050157,11141050,A
0202050157,11141085,A
0202050157,11141212,A
0202050157,11142022,A
0202050165,11142030,A
0202050173,11141093,A
0202050181,11141247,A
0202050181,11142057,A
0202050181,17008069,H
0202050190,11141115,A
0202050203,11141123,A
0202050211,11142154,A
0202050220,11141034,A
0202050220,11141131,A
0202050220,11142014,A
0202050220,17001064,H
0202050220,17005060,H
0202050238,11141158,A
0202050238,17006066,H
0202050246,11014245,A
0202050246,11141166,A
