CO_PROCEDIMENTO,CO_PROCEDIMENTO_SIA_SIH,TP_PROCEDIMENTO
0206020031,35012013,A
0206020031,97014001,H
0206020040,21011060,H
0206030010,35013010,A
0206030010,97015008,H
0206030029,35014148,A
0206030029,35014156,A
0206030029,35014164,A
0206030037,35014059,A
0206030037,97015008,H
0207010013,31011012,A
0207010013,97223000,H
0207010021,31011071,A
0207010030,31011047,A
0207010030,97225002,H
0207010048,31011055,A
0207010048,97226009,H
0207010056,31011063,A
0207010056,97227005,H
0207010064,31011101,A
0207010064,97019003,H
0207010064,97221007,H
0207010072,31011101,A
0207010072,97019003,H
0207010072,97221007,H
0207020019,31012019,A
0207020027,31011098,A
0207020027,31011110,A
0207020027,31011128,A
0207020027,31011160,A
0207020035,31011179,A
0207030014,31011144,A
0207030022,31011080,A
0207030030,31011020,A
0207030030,31011039,A
0207030030,31011152,A
0207030049,31011136,A
0207030049,97020001,H
0208010017,32072074,A
0208010025,32013019,A
0208010033,32013027,A
0208010033,97039004,H
0208010033,97040002,H
0208010041,32011040,A
0208010041,97034002,H
0208010050,32012012,A
0208010068,32011067,A
0208010068,97036005,H
0208010076,32012020,A
0208010076,97038008,H
0208010084,11006056,H
0208010084,11009055,H
0208010084,32011059,A
0208010084,97035009,H
0208010084,97207004,H
0208010092,11002093,H
0208010092,11003057,H
0208010092,11004096,H
0208010092,32021054,A
0208020012,11004037,H
0208020012,11007036,H
0208020012,11008032,H
0208020012,32022018,A
0208020020,11002026,H
0208020020,11003022,H
0208020020,32022026,A
0208020039,32021097,A
0208020047,11005025,H
0208020055,32021038,A
0208020063,32021100,A
0208020071,32021046,A
0208020080,32021020,A
0208020098,32022034,A
0208020101,32021089,A
0208020110,32021070,A
0208020128,32101015,A
0208020128,32101031,A
0208030018,32032013,A
0208030026,32031025,A
0208030034,11006013,H
0208030034,32031033,A
0208030034,32031041,A
0208030042,32031068,A
0208030050,32031050,A
0208040013,11003014,H
0208040021,32072082,A
0208040030,11004045,H
0208040030,32041020,A
0208040048,11006048,H
0208040056,32041012,A
0208040056,32041055,A
0208040064,32042019,A
0208040072,32041063,A
0208040080,32041039,A
0208040099,11002042,H
0208040099,11005041,H
0208040099,32041047,A
0208040102,32042035,A
0208050019,11001062,H
0208050019,11002069,H
0208050019,11003065,H
0208050019,11004061,H
0208050019,32051026,A
0208050027,11005068,H
0208050035,11005068,H
0208050035,32051034,A
0208050043,32072090,A
0208060014,32062095,A
0208060014,97229008,H
0208060022,32062010,A
0208060022,97206008,H
0208060022,97228001,H
0208060030,32061013,A
0208060030,97231002,H
0208070010,32072066,A
0208070028,11001070,H
0208070028,11002077,H
0208070028,32082010,A
0208070036,11001070,H
0208070036,11002077,H
0208070036,32081022,A
0208070044,11001070,H
0208070044,11002077,H
0208070044,32082029,A
0208080015,32091010,A
0208080023,32091028,A
0208080031,32091036,A
0208080031,32091044,A
0208080040,32071019,A
0208090010,32072015,A
0208090029,32101023,A
0208090037,32072040,A
0209010010,13105027,A
0209010010,21014124,H
0209010010,21018081,H
0209010010,21019088,H
0209010010,21020086,H
0209010029,07003013,H
0209010029,17111013,A
0209010029,19093012,A
0209010037,07001010,H
0209010037,07002017,H
0209010037,07004010,H
0209010037,17111030,A
0209010037,19093020,A
0209010037,19093039,A
0209010037,19093047,A
0209010037,21008086,H
0209010037,33001065,H
0209010037,33008051,H
0209010037,33009040,H
0209010045,17111056,A
0209010045,33018111,H
0209010045,33019118,H
0209010053,17111064,A
0209010053,18001017,H
0209010053,33029067,H
0209010053,33030065,H
0209010061,17111080,A
0209010061,39005305,H
0209020016,17101042,A
0209020016,17101050,A
0209020016,17101085,A
0209020016,21042110,H
0209020016,24001023,H
0209020016,24002011,H
0209020016,24002020,H
0209020016,24003018,H
0209030011,08033056,A
0209040017,17093015,A
0209040017,19073011,A
0209040017,19073020,A
0209040017,19073038,A
0209040017,42001048,H
0209040017,42002044,H
0209040017,42003032,H
0209040017,42004047,H
0209040017,42005043,H
0209040017,42007046,H
0209040025,17111099,A
0209040025,19101015,A
0209040025,19101023,A
0209040025,19101031,A
0209040025,19101040,A
0209040025,19102011,A
0209040025,19102020,A
0209040025,19103018,A
0209040025,19103026,A
0209040033,19072015,A
0209040033,19072023,A
0209040033,19072031,A
0209040033,42001030,H
0209040033,42002036,H
0209040033,42003032,H
0209040033,42005035,H
0209040033,42018030,H
0209040041,17111102,A
0209040050,42003059,H
0209040050,42009065,H
0210010010,21004072,H
0210010010,97002003,H
0210010029,13122037,A
0210010037,21003050,H
0210010037,21008116,H
0210010037,21011079,H
0210010045,13121014,A
0210010045,21002070,H
0210010045,97011002,H
0210010053,13122029,A
0210010053,21002070,H
0210010053,97011002,H
0210010061,13122070,A
0210010061,97008001,H
0210010070,13121030,A
0210010070,13121049,A
0210010070,13122126,A
0210010070,97004006,H
0210010088,13122088,A
0210010096,13122231,A
0210010096,97033006,H
0210010100,13122215,A
0210010100,97031003,H
0210010118,13122223,A
0210010118,97032000,H
0210010126,13122207,A
0210010126,21002070,H
0210010126,97011002,H
0210010134,13121022,A
0210010134,13121057,A
0210010134,13122061,A
0210010134,97003000,H
0210010134,97005002,H
0210010134,97006009,H
0210010142,13122045,A
0210010150,13122053,A
0210010150,97007005,H
0210010169,13121090,A
0210010169,97012009,H
0210010177,13121073,A
0210010185,13122169,A
0210010193,13122177,A
0210010193,21007071,H
0210010193,21008078,H
0210010193,21009074,H
0210010193,21010072,H
0210010193,21011125,H
0210010193,21021112,H
0210010193,21038112,H
0210010207,13122185,A
0210020016,13104012,A
0210020016,21013128,H
0210020016,21015112,H
0211010014,08065020,A
0211010022,03006018,H
0211010022,17021014,A
0211010030,03005011,H
0211010030,17021022,A
0211010049,17021030,A
0211020010,26011018,A
0211020010,97004057,H
0211020028,26011034,A
0211020028,97001058,H
0211020036,04001010,H
0211020036,17031010,A
0211020044,04011015,H
0211020044,04012011,H
0211020044,04013018,H
0211020044,04014014,H
0211020044,17032040,A
0211020052,17032032,A
0211020060,04004019,H
0211020060,04005015,H
0211020060,17032059,A
0211030015,40021017,A
0211030015,40021025,A
0211030023,40021033,A
0211030031,40022013,A
0211030040,17091012,A
0211030040,23001011,H
0211030058,17091047,A
0211030066,40023010,A
0211030074,17041015,A
0211030082,10001077,H
0211030082,10002073,H
0211030082,10004076,H
0211030082,10005072,H
0211030082,17041023,A
0211030082,17041031,A
0211030082,17041040,A
0211030090,17041031,A
0211030090,40021041,A
0211040010,17052025,A
0211040010,29001013,H
0211040029,08001014,H
0211040029,17051010,A
0211040037,11111160,A
0211040045,08033048,A
0211040053,17051037,A
0211040061,17052033,A
0211040061,29003016,H
0211050024,13002015,H
0211050024,17061024,A
0211050032,13002015,H
0211050032,17062012,A
0211050040,13002015,H
0211050040,17061024,A
0211050040,17062020,A
0211050059,17062098,A
0211050067,13006010,H
0211050067,17061105,A
0211050075,17062080,A
0211050083,13004018,H
0211050083,17062039,A
0211050091,40201120,H
0211050105,81300204,H
0211050105,81500190,H
0211050113,13007017,H
0211050113,17062047,A
0211050121,13008013,H
0211050121,14024012,H
0211050121,17062055,A
0211050130,13009010,H
0211050130,17062063,A
0211050148,97042005,H
0211050156,17062071,A
0211060011,17072042,A
0211060020,17073065,A
0211060038,17073073,A
0211060054,17074070,A
0211060062,14003015,H
0211060062,17072026,A
0211060070,14022010,H
0211060070,17074029,A
0211060089,17074010,A
0211060097,17071046,A
0211060100,14001012,H
0211060100,17071038,A
0211060119,17071054,A
0211060127,14005018,H
0211060127,17073065,A
0211060135,17071062,A
0211060143,17074053,A
0211060151,14019019,H
0211060151,17071011,A
0211060160,17074037,A
0211060178,14009013,H
0211060178,17072050,A
0211060186,14011018,H
0211060186,17074045,A
0211060208,17072069,A
0211060216,17071070,A
0211060224,17071089,A
0211060232,14007010,H
0211060232,17073022,A
0211060240,17073049,A
0211060259,14004011,H
0211060259,17071020,A
0211060267,17074061,A
0211070017,17084024,A
0211070025,15003019,H
0211070025,17082030,A
0211070025,17082234,A
0211070033,17082056,A
0211070033,17082242,A
0211070041,15001016,H
0211070041,15002012,H
0211070041,17082013,A
0211070041,17082226,A
0211070050,17082021,A
0211070068,17084075,A
0211070076,17084059,A
0211070076,17084083,A
0211070084,17084032,A
0211070084,17084040,A
0211070084,17084067,A
0211070092,39011011,A
0211070106,39011020,A
0211070114,17084016,A
0211070122,17082072,A
0211070130,17083036,A
0211070149,17082080,A
0211070157,17082099,A
0211070157,17082269,A
0211070165,17083044,A
0211070165,17083052,A
0211070173,17084091,A
0211070181,17084105,A
0211070190,17083028,A
0211070203,15007014,H
0211070203,15008010,H
0211070203,17081041,A
0211070203,17081050,A
0211070203,17081092,A
0211070203,17081165,A
0211070203,17082218,A
0211070211,17081017,A
0211070211,17081025,A
0211070211,17081033,A
0211070211,17082200,A
0211070220,17083010,A
0211070238,17081076,A
0211070246,17082064,A
0211070246,17082250,A
0211070254,17083060,A
0211070262,17082110,A
0211070262,17082277,A
0211070270,17082102,A
0211070289,17081068,A
0211070297,39011089,A
0211070300,39011097,A
0211070319,39012018,A
0211070327,17081106,A
0211070327,17081114,A
0211070335,17081084,A
0211070335,17081130,A
0211070335,17081149,A
0211070335,17081157,A
0211070343,17082048,A
0211070343,17082170,A
0211070351,15005011,H
0211070351,15006018,H
0211070351,17082129,A
0211070351,17082137,A
0211070351,17082188,A
0211070360,17082196,A
0211080012,17091020,A
0211080012,23003014,H
0211080020,17091101,A
0211080039,17091063,A
0211080047,17091071,A
0211080047,23007010,H
0211080055,17092035,A
0211080055,17092043,A
0211080063,17091039,A
0211080063,17092027,A
0211080063,23002018,H
0211080071,17091098,A
0211080071,23005017,H
0211080080,17091080,A
0211080080,23006013,H
0211090018,17102014,A
0211090026,17101018,A
0211090034,17101026,A
0211090042,17101034,A
0211090042,24001015,H
0211090050,17101077,A
0211090069,17101069,A
0211090077,17101093,A
0211100013,07021046,A
0211100013,19002017,H
0212010018,37021010,A
0212010026,37051016,A
0212010026,94001014,H
0212010026,94002010,H
0212010026,94003017,H
0212010026,94004013,H
0212010026,94005010,H
0212010026,94006016,H
0212010026,94007012,H
0212010034,37051024,A
0212010034,94004013,H
0212010034,94006016,H
0212010034,94007012,H
0212010042,37081071,A
0212010050,37031015,A
0212010050,37031023,A
0212020013,37081047,A
0212020021,37081039,A
0212020030,37081020,A
0212020048,37081055,A
0212020056,37081055,A
0212020064,37041010,A
0214010015,07031033,A
0214010023,07031050,A
0214010031,07031041,A
0214010040,07051050,A
0214010040,95008012,H
0214010058,07051050,A
0214010058,95008012,H
0301010013,02012154,A
0301010013,02012162,A
0301010021,02012146,A
0301010030,01022237,A
0301010030,01022245,A
0301010030,04011040,A
0301010030,04011058,A
0301010030,04012020,A
0301010048,07021038,A
0301010048,40011054,A
0301010048,40011100,A
0301010048,40011119,A
0301010048,40013014,A
0301010048,40013022,A
0301010048,40013030,A
0301010056,07012012,A
0301010056,07012217,A
0301010064,02012049,A
0301010064,02012057,A
0301010064,02012065,A
0301010064,02012073,A
0301010064,02012081,A
0301010064,02012103,A
0301010064,02012120,A
0301010064,02012138,A
0301010064,25001019,H
0301010072,07012020,A
0301010072,07012039,A
0301010072,07012047,A
0301010072,07012055,A
0301010072,07012063,A
0301010072,07012071,A
0301010072,07012080,A
0301010072,07012098,A
0301010072,07012101,A
0301010072,07012110,A
0301010072,07012128,A
0301010072,07012136,A
0301010072,07012144,A
0301010072,07012152,A
0301010072,07012160,A
0301010072,07012179,A
0301010072,07012187,A
0301010072,07012195,A
0301010072,07012209,A
0301010072,07012225,A
0301010072,07012233,A
0301010072,07012241,A
0301010072,07012250,A
0301010072,07012268,A
0301010072,07012276,A
0301010072,07012284,A
0301010072,07012292,A
0301010072,07012306,A
0301010072,07012314,A
0301010072,07012322,A
0301010072,07012330,A
0301010072,07012349,A
0301010072,07012357,A
0301010072,07012365,A
0301010072,07012381,A
0301010072,07012390,A
0301010072,14016010,H
0301010072,25001019,H
0301010099,02012189,A
0301010102,14008017,H
0301010102,38091011,A
0301010110,01022148,A
0301010110,02012030,A
0301010129,01022156,A
0301010129,02012111,A
0301010137,02012090,A
0301010137,04011066,A
0301010137,04011074,A
0301010137,04012038,A
0301010137,04012046,A
0301010145,95004017,H
0301010153,03021017,A
0301010161,07021070,A
0301020019,38111012,A
0301020027,38111020,A
0301020035,07011032,A
0301020035,07011075,A
0301030065,07031017,A
0301030073,07011024,A
0301040010,02012014,A
0301040036,07021054,A
0301040044,07021062,A
0301050015,38081016,A
0301050031,07041020,A
0301050040,07041012,A
0301050058,01023047,A
0301050066,19074018,A
0301050066,23001020,H
0301050074,25002015,H
0301050074,85300780,H
0301050074,85500801,H
0301050074,85500933,H
0301050074,85500941,H
0301050074,85500950,H
0301060010,68300018,H
0301060010,71300007,H
0301060029,07011016,A
0301060037,02011034,A
0301060045,02011042,A
0301060053,02011026,A
0301060061,07011040,A
0301060070,43000002,H
0301060088,68500017,H
0301060088,72500000,H
0301060096,07011040,A
0301060100,07012373,A
0301070016,39011100,A
0301070016,39011119,A
0301070024,38101017,A
0301070024,40011089,A
0301070032,39011054,A
0301070032,39011062,A
0301070032,39011070,A
0301070040,38101017,A
0301070040,40011038,A
0301070059,38101017,A
0301070059,40011046,A
0301070059,40011062,A
0301070059,40011070,A
0301070059,40012026,A
0301070067,19141017,A
0301070075,38101017,A
0301070075,40011020,A
0301070083,19151055,A
0301070091,19151063,A
0301070091,40012034,A
0301070105,19141041,A
0301070113,39011038,A
0301070113,39011046,A
0301070121,19141033,A
0301070121,40011097,A
0301070121,40011127,A
0301070130,19141025,A
0301080011,19161018,A
0301080020,63001578,H
0301080038,38042100,A
0301080046,38041014,A
0301080143,19151071,A
0301080151,19151080,A
0301080160,07021054,A
0301080160,40011011,A
0301080178,07021062,A
0301080178,19002025,H
0301080178,40011011,A
0301090017,91500206,H
0301090025,91500214,H
0301100012,07031025,A
0301100039,01022253,A
0301100039,01022261,A
0301100039,01022270,A
0301100039,01022288,A
0301100101,01022083,A
0301100101,23004029,H
0301100101,23005025,H
0301100101,23007028,H
0301100152,01022121,A
0301100187,01022130,A
0301110018,38051010,A
0301110018,38051028,A
0301110018,38051036,A
0301110026,38051044,A
0301110026,38051052,A
0301110026,38051060,A
0301120013,38071010,A
0301120021,38071045,A
0301120030,38071037,A
0301120048,38071029,A
0301120056,38121018,A
0301130019,38131013,A
0302010017,18061010,A
0302010017,99200015,H
0302010025,18061028,A
0302010025,99200023,H
0302010033,99200031,H
0302020020,18062024,A
0302020020,99200058,H
0302020039,18062032,A
0302020039,99200066,H
0302030018,18063012,A
0302030018,99200074,H
0302030026,18063020,A
0302030026,99200082,H
0302040013,18064019,A
0302040013,99200090,H
0302040021,18064027,A
0302040021,99200104,H
0302040030,18064035,A
0302040030,99200112,H
0302040048,18064043,A
0302040048,99200120,H
0302040056,18064051,A
0302040056,99200139,H
0302050019,18065015,A
0302050019,99200147,H
0302050027,18065023,A
0302050035,99200155,H
0302060014,18066011,A
0302060014,99200163,H
0302060022,18066020,A
0302060022,99200171,H
0302060030,18066038,A
0302060030,99200180,H
0302060049,18066046,A
0302060057,18066054,A
0302060057,99200198,H
0302070010,18067018,A
0302070010,99200201,H
0302070028,99200210,H
0302070036,18067026,A
0303010010,74300440,H
0303010010,74500457,H
0303010029,74300628,H
0303010029,74500627,H
0303010037,74300067,H
0303010037,74300091,H
0303010037,74300105,H
0303010037,74300121,H
0303010037,74300130,H
0303010037,74300261,H
0303010037,74300296,H
0303010037,74400010,H
0303010037,74500066,H
0303010037,74500090,H
0303010037,74500104,H
0303010037,74500112,H
0303010037,74500236,H
0303010037,74500244,H
0303010037,74500279,H
0303010037,74500287,H
0303010037,77300483,H
0303010037,77500482,H
0303010045,74300075,H
0303010045,74300083,H
0303010045,74300199,H
0303010045,74500082,H
0303010045,74500171,H
0303010053,74300156,H
0303010053,74300164,H
0303010053,74300210,H
0303010053,74300547,H
0303010053,74300601,H
0303010053,74500139,H
0303010053,74500147,H
0303010053,74500198,H
0303010053,74500538,H
0303010053,74500546,H
0303010061,74300016,H
0303010061,74300024,H
0303010061,74300270,H
0303010061,74300288,H
0303010061,74300555,H
0303010061,74500015,H
0303010061,74500023,H
0303010061,74500074,H
0303010061,74500252,H
0303010061,74500260,H
0303010061,74500554,H
0303010061,76400271,H
0303010070,74300342,H
0303010070,74500317,H
0303010088,74300431,H
0303010088,74500430,H
0303010096,74300490,H
0303010096,74500490,H
0303010100,74300202,H
0303010100,74300415,H
0303010100,74300423,H
0303010100,74500180,H
0303010100,74500376,H
0303010100,74500384,H
0303010118,74300350,H
0303010118,74300563,H
0303010118,74300571,H
0303010118,74300636,H
0303010118,74500325,H
0303010118,74500562,H
0303010118,74500570,H
0303010118,74500635,H
0303010126,74300172,H
0303010126,74500155,H
0303010134,74300318,H
0303010134,74300520,H
0303010134,74300539,H
0303010134,74500520,H
0303010134,74500589,H
0303010142,74300040,H
0303010142,74300113,H
0303010142,74300253,H
0303010142,74300300,H
0303010142,74300369,H
0303010142,74300482,H
0303010142,74300504,H
0303010142,74500040,H
0303010142,74500295,H
0303010142,74500333,H
0303010142,74500414,H
0303010142,74500503,H
0303010150,74300148,H
0303010150,74500120,H
0303010169,74300393,H
0303010169,74500350,H
0303010169,84300035,H
0303010169,84500034,H
0303010177,74300377,H
0303010185,74300180,H
0303010185,74500163,H
0303010193,74300326,H
0303010193,74300334,H
0303010193,74500309,H
0303010207,74300512,H
0303010207,74500511,H
0303010215,74300032,H
0303010215,74300059,H
0303010215,74300466,H
0303010215,74500031,H
0303010215,74500058,H
0303010215,74500465,H
0303020016,19111010,A
0303020024,19111029,A
0303020032,79300030,H
0303020032,79500030,H
0303020040,79300022,H
0303020040,79500021,H
0303020059,79300014,H
0303020059,79500013,H
0303020067,79300065,H
0303020067,79300073,H
0303020067,79500056,H
0303020067,79500064,H
0303020075,79300057,H
0303020075,79500048,H
0303020083,79300081,H
0303020083,79300090,H
0303020083,79500072,H
0303020083,79500080,H
0303020083,79500099,H
0303020083,79500102,H
0303030011,91300304,H
0303030011,91500303,H
0303030020,73300012,H
0303030020,73300020,H
0303030020,73300039,H
0303030020,73300047,H
0303030020,73300071,H
0303030020,73500011,H
0303030020,82300089,H
0303030038,82300038,H
0303030038,82300046,H
0303030038,82500045,H
0303030038,82500053,H
0303030046,72300019,H
0303030046,72500018,H
0303030046,82300070,H
0303030046,82300119,H
0303030046,82300127,H
0303030046,82300135,H
0303030046,82500126,H
0303030046,82500134,H
0303030046,82500142,H
0303030054,82300011,H
0303030054,82300020,H
0303030054,82300062,H
0303030054,82500010,H
0303030054,82500029,H
0303030054,82500037,H
0303030062,82300054,H
0303030062,82500061,H
0303040017,81300212,H
0303040017,81500211,H
0303040025,83300112,H
0303040025,83500146,H
0303040033,81500246,H
0303040041,81300034,H
0303040041,81500033,H
0303040050,81300050,H
0303040050,81500084,H
0303040068,81300310,H
0303040068,81500300,H
0303040076,81300263,H
0303040076,81500254,H
0303040084,81300271,H
0303040084,81500262,H
0303040092,81300280,H
0303040092,81500270,H
0303040106,81300298,H
0303040106,81500289,H
0303040114,81300301,H
0303040114,81500297,H
0303040122,40204006,H
0303040122,40210006,H
0303040130,81300255,H
0303040130,81500238,H
0303040149,81300239,H
0303040149,81500106,H
0303040157,81300018,H
0303040157,81500017,H
0303040165,81300042,H
0303040165,81500076,H
0303040173,83300090,H
0303040173,83500103,H
0303040181,81500092,H
0303040190,81500173,H
0303040203,81500122,H
0303040211,77500075,H
0303040220,83300104,H
0303040220,83500138,H
0303040238,91300037,H
0303040238,91500044,H
0303040246,81500130,H
0303040254,83300082,H
0303040254,83500090,H
0303040262,81500181,H
0303040270,81300220,H
0303040270,81500114,H
0303040289,81500041,H
0303040297,81300140,H
0303040297,81500149,H
0303050012,14008017,H
0303050012,38091011,A
0303050012,38091020,A
0303050020,19061013,A
0303050039,38092026,A
0303050047,38092042,A
0303050055,38092069,A
0303050063,38092018,A
0303050071,38092034,A
0303050080,38092050,A
0303050098,38092077,A
0303050101,38092085,A
0303050110,38092093,A
0303060018,77300106,H
0303060018,77500105,H
0303060026,77300157,H
0303060026,77500180,H
0303060034,77300025,H
0303060034,77500229,H
0303060042,77500032,H
0303060050,86300016,H
0303060050,86500015,H
0303060069,77300173,H
0303060069,77500199,H
0303060077,77300254,H
0303060077,77500245,H
0303060085,77300017,H
0303060085,77500016,H
0303060093,91500141,H
0303060107,77300068,H
0303060107,77500121,H
0303060115,77300017,H
0303060115,77500016,H
0303060123,78300010,H
0303060123,78500010,H
0303060131,77300149,H
0303060131,77500164,H
0303060140,77300122,H
0303060140,77500156,H
0303060158,77300033,H
0303060158,77500067,H
0303060166,77300033,H
0303060166,77500067,H
0303060174,77300122,H
0303060174,77500156,H
0303060182,77300084,H
0303060182,77500130,H
0303060190,77500024,H
0303060204,77300114,H
0303060204,77500202,H
0303060212,77300050,H
0303060212,77500113,H
0303060220,84500018,H
0303060239,77300025,H
0303060239,77500229,H
0303060247,77300165,H
0303060255,77300173,H
0303060255,77500199,H
0303060263,77300114,H
0303060263,77500202,H
0303060271,77300041,H
0303060271,77500083,H
0303060280,77500032,H
0303060298,77500237,H
0303060301,84500042,H
0303070013,19091028,A
0303070021,99042037,H
0303070030,08021120,A
0303070048,19092016,A
0303070056,19092024,A
0303070064,75300028,H
0303070064,75300052,H
0303070064,75500019,H
0303070064,75500027,H
0303070064,75500035,H
0303070072,75300036,H
0303070072,75300044,H
0303070072,75500175,H
0303070072,75500191,H
0303070072,75500213,H
0303070072,75500248,H
0303070072,75500256,H
0303070080,75300095,H
0303070080,75500132,H
0303070099,75300087,H
0303070099,75500051,H
0303070099,75500078,H
0303070102,73300055,H
0303070102,73500038,H
0303070102,75300176,H
0303070102,75500124,H
0303070102,88300145,H
0303070110,75300060,H
0303070110,75300079,H
0303070110,75300109,H
0303070110,75300141,H
0303070110,75300150,H
0303070110,75500094,H
0303070110,75500116,H
0303070129,75300125,H
0303070129,75300133,H
0303070129,75500230,H
0303070129,75500272,H
0303070129,75500299,H
0303080019,19042027,A
0303080027,19042019,A
0303080035,19042035,A
0303080043,84300027,H
0303080043,84500026,H
0303080051,86300032,H
0303080051,86300040,H
0303080051,91300100,H
0303080060,74300237,H
0303080060,74500210,H
0303080078,74300229,H
0303080078,74500201,H
0303080086,86300024,H
0303080094,78300053,H
0303080094,78500052,H
0303080094,82300100,H
0303080094,82500118,H
0303090014,08053049,A
0303090014,08053057,A
0303090014,08055050,A
0303090014,08056129,A
0303090014,08058040,A
0303090014,08059020,A
0303090014,39001059,H
0303090014,39001075,H
0303090014,39001091,H
0303090014,39001121,H
0303090014,39001148,H
0303090014,39003167,H
0303090014,39026043,H
0303090022,39060101,H
0303090022,39071170,H
0303090030,08051020,A
0303090049,08051054,A
0303090049,39002225,H
0303090073,09042016,A
0303090073,09042024,A
0303090073,09042032,A
0303090073,09042040,A
0303090073,09042059,A
0303090073,09042067,A
0303090081,09043012,A
0303090090,09041010,A
0303090090,09041028,A
0303090090,09041036,A
0303090090,09041044,A
0303090090,09041052,A
0303090090,09041060,A
0303090090,09041079,A
0303090090,09041087,A
0303090111,09043020,A
0303090111,09043039,A
0303090111,09043047,A
0303090120,09021043,A
0303090120,09031014,A
0303090120,09031022,A
0303090120,39016048,H
0303090120,39017044,H
0303090120,39022021,H
0303090120,39023052,H
0303090138,39018113,H
0303090138,39029131,H
0303090138,39031136,H
0303090146,09035028,A
0303090146,39004031,H
0303090154,09031073,A
0303090162,09031065,A
0303090170,37025058,H
0303090170,37026054,H
0303090189,09035010,A
0303090189,39005038,H
0303090197,39017117,H
0303090200,09032010,A
0303090200,09032029,A
0303090200,09032037,A
0303090200,09032045,A
0303090200,09032053,A
0303090200,09032061,A
0303090200,09032070,A
0303090200,39015122,H
0303090200,39019160,H
0303090200,39020142,H
0303090200,39021157,H
0303090200,39022153,H
0303090200,39023150,H
0303090200,39024130,H
0303090200,39025136,H
0303090200,39027139,H
0303090200,39031179,H
0303090200,39032175,H
0303090200,39033171,H
0303090200,39038173,H
0303090200,39039170,H
0303090200,39048144,H
0303090200,39049140,H
0303090219,09033017,A
0303090227,09031030,A
0303090227,09031049,A
0303090227,09031057,A
0303090227,09031081,A
0303090227,09031090,A
0303090227,39013090,H
0303090227,39017079,H
0303090227,39023060,H
0303090227,39024067,H
0303090227,39026086,H
0303090227,39031101,H
0303090227,39032108,H
0303090235,09033033,A
0303090235,39020029,H
0303090243,39021025,H
0303090251,09033025,A
0303090251,09033041,A
0303090260,09031103,A
0303090286,09032088,A
0303090286,39021149,H
0303090286,39044165,H
0303090286,39078027,H
0303090294,83300023,H
0303090294,83500022,H
0303090316,82500096,H
0303090316,83300015,H
0303090316,83300074,H
0303090316,83500014,H
0303090316,83500081,H
0303100010,69000034,H
0303100010,69000042,H
0303100010,69000093,H
0303100028,69000069,H
0303100036,69000050,H
0303100044,69000018,H
0303100044,69000077,H
0303100044,69000085,H
0303100044,69000107,H
0303100044,69000115,H
0303100044,69000140,H
0303100044,69000204,H
0303100044,69500010,H
0303100044,69500029,H
0303100052,69000131,H
0303110015,88300188,H
0303110015,88300196,H
0303110015,88300200,H
0303110023,71300104,H
0303110023,88300250,H
0303110031,88300013,H
0303110040,77300130,H
0303110040,77500148,H
0303110040,88300048,H
0303110058,88300056,H
0303110058,88300064,H
0303110058,88300072,H
0303110058,88300080,H
0303110066,80300138,H
0303110066,80500137,H
0303110074,88300242,H
0303110082,88300021,H
0303110090,88300030,H
0303110104,88300218,H
0303110104,88300234,H
0303110112,33037060,H
0303110112,88300099,H
0303110112,88300102,H
0303110112,88300129,H
0303110112,88300137,H
0303120037,11001089,H
0303120045,11002085,H
0303120053,32112017,A
0303120061,32111037,A
0303120070,32111029,A
0303130016,85300772,H
0303130016,85500798,H
0303130024,85300713,H
0303130024,85500739,H
0303130032,85300721,H
0303130032,85500747,H
0303130040,85300764,H
0303130040,85500780,H
0303130059,85300730,H
0303130059,85500755,H
0303130067,85300756,H
0303130067,85500771,H
0303130075,85300748,H
0303130075,85500763,H
0303130083,74300474,H
0303130083,74500473,H
0303140011,17083079,A
0303140020,73300063,H
0303140020,76500241,H
0303140038,76300129,H
0303140038,76500144,H
0303140046,76300099,H
0303140046,76300102,H
0303140046,76300153,H
0303140046,76500080,H
0303140046,76500128,H
0303140046,76500187,H
0303140046,76500225,H
0303140054,76300170,H
0303140054,76500160,H
0303140054,76500217,H
0303140062,76500110,H
0303140070,76300048,H
0303140089,76500209,H
0303140097,76300161,H
0303140097,76500195,H
0303140100,76300021,H
0303140100,76500012,H
0303140119,19072040,A
0303140119,42008018,H
0303140119,76300110,H
0303140119,76500136,H
0303140127,76300030,H
0303140127,76500020,H
0303140135,76300188,H
0303140135,76500233,H
0303140143,76300056,H
0303140151,71300066,H
0303140151,76300064,H
0303140151,76300072,H
0303140151,76300145,H
0303140151,76400077,H
0303140151,76500055,H
0303140151,76500063,H
0303140151,76500179,H
0303150017,80500226,H
0303150025,80300014,H
0303150025,80300022,H
0303150025,80300049,H
0303150025,80500013,H
0303150025,80500021,H
0303150025,80500048,H
0303150033,80500161,H
0303150041,80300081,H
0303150041,80300090,H
0303150041,80300146,H
0303150041,80500080,H
0303150041,80500099,H
0303150041,80500145,H
0303150050,80300103,H
0303150050,80500102,H
0303150050,80500218,H
0303150050,88300170,H
0303150068,80300120,H
0303150068,80500129,H
0303160012,75300192,H
0303160020,69000026,H
0303160020,71300090,H
0303160039,71300112,H
0303160039,99001012,H
0303160047,71300040,H
0303160047,71300074,H
0303160047,71300082,H
0303160055,71300015,H
0303160055,71300120,H
0303160063,71300031,H
0303160063,71300058,H
0303160071,71300023,H
0303170093,63001306,H
0303170093,63001560,H
0303170093,63001586,H
0303170093,63001594,H
